Location,Property,"Employee Number","Bags of Salt Used? ","Bags of Calcium Used? ","How many Guys Servicing Property?","Total Man Hours of all Guys?","Submission Date","Submitted By","Assigned To"
"Sec 25 - Glendale Heights","139 Army Trail",419,0,0,3,25,"2015-12-28 12:50:17","SnowPlus Staff","Paul Steinhauer"
"Sec 01 - Addison","2171 Executive",419,1,0,3,2,"2015-12-28 12:09:23","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,1,0,3,1,"2015-12-28 12:05:30","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",419,1,0,3,1,"2015-12-28 11:47:13","SnowPlus Staff","Wally Sternberg"
"Sec 08 - Berkley","5000 Proviso",575,4,0,4,8,"2015-12-28 11:27:03","SnowPlus Staff","Jim Jungles"
"Sec 01 - Addison","710 Belden",419,1,0,3,1,"2015-12-28 11:15:11","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",419,1,0,3,1,"2015-12-28 11:12:31","SnowPlus Staff","Wally Sternberg"
"Sec 08 - Berkley","Melrose Park Center",575,36,0,4,8,"2015-12-28 09:49:58","SnowPlus Staff","Jim Jungles"
"Sec 08 - Berkley","5000 Proviso",575,12,0,4,8,"2015-12-28 09:39:17","SnowPlus Staff","Jim Jungles"
"Sec 25 - Glendale Heights","180 Exchange",419,2,0,3,2,"2015-12-28 09:24:40","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","110 International",419,4,0,3,2,"2015-12-28 09:22:29","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","80 International",416,6,0,3,2,"2015-12-28 09:21:00","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","111 International",419,3,0,3,2,"2015-12-28 09:19:36","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","139 Army Trail",419,6,0,3,3,"2015-12-28 09:18:01","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","139 Army Trail",419,6,0,3,3,"2015-12-28 09:17:57","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","699 Regency",419,5,0,3,3,"2015-12-28 09:15:30","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","1620 & 1640 Fullerton Ct",419,8,0,3,2,"2015-12-28 09:14:03","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","1601 & 1625 Fullerton",419,9,0,3,3,"2015-12-28 09:09:48","SnowPlus Staff","Paul Steinhauer"
"Sec 25 - Glendale Heights","1601 & 1625 Fullerton",419,9,0,3,3,"2015-12-28 09:09:44","SnowPlus Staff","Paul Steinhauer"
"Sec 01 - Addison","710 Belden",419,5,0,3,3,"2015-12-28 09:03:15","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",419,7,0,3,3,"2015-12-28 09:01:09","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","775 Belden",419,7,0,3,3,"2015-12-28 09:00:54","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","780 Belden",419,8,0,3,3,"2015-12-28 09:00:07","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","Devry University",419,5,0,3,2,"2015-12-28 08:58:29","SnowPlus Staff","Wally Sternberg"
"Sec 27 - Joliet","3311 & 3325 Corporate",582,12,0,3,450,"2015-12-28 08:40:37","SnowPlus Staff","Bob Inabnit"
"Sec 01 - Addison","2171 Executive",419,5,0,3,2,"2015-12-28 08:37:32","SnowPlus Staff","Wally Sternberg"
"Sec 01 - Addison","350 Rohlwing - Vanport Warehousing",419,4,0,3,2,"2015-12-28 08:33:07","SnowPlus Staff","Wally Sternberg"
"Sec 27 - Joliet","3311 & 3325 Corporate",582,6,5,3,450,"2015-12-28 08:26:20","SnowPlus Staff","Bob Inabnit"
"Sec 17 - Lombard / Oakbrook","Oak brook International",3,6,1,2,1,"2015-12-23 15:03:33","SnowPlus Staff","Jim Rose"
"Sec 10 - Bolingbrook West","1601 Remington",24,2,3,2,4,"2015-12-22 11:55:28","SnowPlus Staff","Donato Garcia"
